Name of State,Active Cases,Recovered,Deaths,Total Confirmed cases,Recovered Rate,Death Rate,Population,Latitude,Longitude
Andaman and Nicobar Islands,58,163,0,221,73.756,0,417036,11.7401,92.6586
Andhra Pradesh,31763,32127,823,64713,49.645,1.272,53903393,15.9129,79.74
Arunachal Pradesh,632,314,3,949,33.087,0.316,1570458,28.218,94.7278
Assam,8675,18033,64,26772,67.358,0.239,35607039,26.2006,92.9376
Bihar,10506,19646,217,30369,64.691,0.715,124799926,25.0961,85.3131
Chandigarh,254,526,13,793,66.33,1.639,1158473,30.7333,76.7794
Chhattisgarh,1709,4230,29,5968,70.878,0.486,29436231,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,257,474,2,733,64.666,0.273,615724,20.4283,72.8397
Delhi,14954,107650,3719,126323,85.218,2.944,18710922,28.7041,77.1025
Goa,1607,2541,28,4176,60.848,0.67,1586250,15.2993,74.124
Gujarat,11915,37260,2224,51399,72.492,4.327,63872399,22.2587,71.1924
Haryana,6117,21697,372,28186,76.978,1.32,28204692,29.0588,76.0856
Himachal Pradesh,609,1105,11,1725,64.058,0.638,7451955,31.1048,77.1734
Jammu and Kashmir,6831,8607,273,15711,54.783,1.738,13606320,33.7782,76.5762
Jharkhand,3397,3024,64,6485,46.631,0.987,38593948,23.6102,85.2799
Karnataka,47075,27239,1519,75833,35.92,2.003,67562686,15.3173,75.7139
Kerala,8825,6162,45,15032,40.993,0.299,35699443,10.8505,76.2711
Ladakh,186,1018,2,1206,84.411,0.166,289023,34.1526,77.577
Madhya Pradesh,7236,16836,770,24842,67.772,3.1,85358965,22.9734,78.6569
Maharashtra,137282,187769,12556,337607,55.618,3.719,123144223,19.7515,75.7139
Manipur,632,1428,0,2060,69.32,0,3091545,24.6637,93.9063
Meghalaya,433,77,4,514,14.981,0.778,336671,25.467,91.3662
Mizoram,138,179,0,317,56.467,0,1239244,23.1645,92.9376
Nagaland,598,486,0,1084,44.834,0,2249695,26.1584,94.5624
Odisha,5977,13750,108,19835,69.322,0.544,46356334,20.9517,85.0985
Puducherry,900,1369,31,2300,59.522,1.348,1413542,11.9416,79.8083
Punjab,3391,7641,269,11301,67.613,2.38,30141373,31.1471,75.3412
Rajasthan,8387,23364,583,32334,72.258,1.803,81032689,27.0238,74.2179
Sikkim,326,112,0,438,25.571,0,690251,27.533,88.5122
Tamil Nadu,51765,131583,3144,186492,70.557,1.686,77841267,11.1271,78.6569
Telangana,11155,37666,438,49259,76.465,0.889,39362732,18.1124,79.0193
Tripura,1408,2032,9,3449,58.916,0.261,4169794,23.9408,91.9882
Uttarakhand,1894,3349,57,5300,63.189,1.075,11250858,30.0668,79.0193
Uttar Pradesh,20825,33500,1263,55588,60.265,2.272,237882725,26.8467,80.9462
West Bengal,18450,29650,1221,49321,60.116,2.476,99609303,22.9868,87.855
